year,month,region_code,region_name,npd_total,npd_physical,npd_ie
2021,5,64,Саратовская область,20429,19522,907
2021,5,73,Ульяновская область,10750,10034,716
2021,5,45,Курганская область,6854,6314,540
2021,5,66,Свердловская область,70559,66436,4123
2021,5,72,Тюменская область,27109,25454,1655
2021,5,74,Челябинская область,44808,42175,2633
2021,5,86,Ханты-Мансийский автономный округ - Югра,21113,19821,1292
2021,5,89,Ямало-Ненецкий автономный округ,5589,5217,372
2021,5,04,Республика Алтай,2042,1831,211
2021,5,17,Республика Тыва,2401,2235,166
2021,5,19,Республика Хакасия,3720,3442,278
2021,5,22,Алтайский край,17992,16715,1277
2021,5,24,Красноярский край,37098,34585,2513
2021,5,38,Иркутская область,21144,19811,1333
2021,5,42,Кемеровская область,19951,18715,1236
2021,5,54,Новосибирская область,50350,47639,2711
2021,5,55,Омская область,26087,24612,1475
2021,5,70,Томская область,11421,10568,853
2021,5,03,Республика Бурятия,6009,5524,485
2021,5,14,Республика Саха (Якутия),9138,8115,1023
2021,5,25,Приморский край,17732,16166,1566
2021,5,27,Хабаровский край,13516,12634,882
2021,5,28,Амурская область,5587,5145,442
2021,5,41,Камчатский край,2162,1940,222
2021,5,49,Магаданская область,1347,1220,127
2021,5,65,Сахалинская область,5706,5301,405
2021,5,75,Забайкальский край,4437,4108,329
2021,5,79,Еврейская автономная область,968,885,83
2021,5,87,Чукотский автономный округ,221,188,33
2021,6,00,Российская Федерация,2573055,2405386,167669
2021,6,31,Белгородская область,15589,13968,1621
2021,6,32,Брянская область,9814,9127,687
2021,6,33,Владимирская область,12621,11612,1009
2021,6,36,Воронежская область,32545,31170,1375
2021,6,37,Ивановская область,8038,7434,604
2021,6,40,Калужская область,21550,20115,1435
2021,6,44,Костромская область,4731,4254,477
2021,6,46,Курская область,8140,7586,554
2021,6,48,Липецкая область,10868,10136,732
2021,6,50,Московская область,234629,215720,18909
2021,6,57,Орловская область,7090,6524,566
2021,6,62,Рязанская область,10137,9544,593
2021,6,67,Смоленская область,7081,6643,438
2021,6,68,Тамбовская область,5958,5480,478
2021,6,69,Тверская область,11990,11238,752
2021,6,71,Тульская область,12932,11897,1035
2021,6,76,Ярославская область,13719,12944,775
2021,6,77,г.Москва,650712,606940,43772
2021,6,10,Республика Карелия,7798,7100,698
2021,6,11,Республика Коми,6951,6322,629
2021,6,29,Архангельская область,7612,6941,671
2021,6,35,Вологодская область,9637,8935,702
2021,6,39,Калининградская область,17702,16694,1008
2021,6,47,Ленинградская область,31782,29284,2498
2021,6,51,Мурманская область,7424,6802,622
2021,6,53,Новгородская область,5395,4775,620
2021,6,60,Псковская область,5577,5072,505
